Name,Siblings,# Transits,Rp/Rs,Semimajor axis [AU],Inclincation [Deg],Eccentricity,Arg. of Periastron,Rel. Depth,Chi-sqaure,Depth Recovery RMS [Days],TTV recovery RMS,Failed fitting,Failed injection
Kepler-26 b,"d, e, c",116,0.0449418447169811,34.64855712899946,89.47368421052632,0.0,0.0,0.0024074856547064,3.115131600732037e-06,0.0007015605574795,0.1570233635130293,False,False
Kepler-531 b,None,48,0.0372046825333333,48.56856762148055,89.47368421052632,0.0,0.0,0.0016036380893006,3.977822092973427e-06,0.0002111765999659,0.2139240350716098,False,False
Kepler-891 b,None,27,0.0534420367149758,59.85577542113061,89.47368421052632,0.0,0.0,0.003197638336549,2.577570123312988e-07,0.0004512373360446,0.2338638371329786,False,False
Kepler-857 b,None,17,0.0705624884210526,82.14223508591604,89.47368421052632,0.0,0.0,0.0049648176697587,3.999837410148001e-07,0.0007101906467962,0.2915396411187098,False,False
Kepler-210 c,b,179,0.0519413296874999,21.52336215479296,89.47368421052632,0.0,0.0,0.0032696376583187,2.938765724215849e-05,0.0004811683494239,0.1373249010403286,False,False
Kepler-12 b,None,320,0.1127387121621621,8.034642705977001,89.47368421052632,0.0,182.0,0.0155170577760113,3.6946731983702986e-07,0.0019664812690239,0.1203759827149253,False,False
Kepler-530 b,None,37,0.0331529319101123,52.81573207183141,89.47368421052632,0.0,0.0,0.0012589642166351,1.5243176393704673e-07,0.0001883521378676,0.2667239593409738,False,False
Kepler-553 b,c,353,0.0471112788888888,11.65951446245696,89.47368421052632,0.0,0.0,0.0027091274830225,,0.0004999485445419,0.1350872655047942,False,False
Kepler-678 b,None,196,0.0516831114942528,18.092350027950456,89.47368421052632,0.0,0.0,0.0032468429282531,1.8227386839860137e-06,0.0008431046615997,0.4426260440571605,False,False
Kepler-487 b,"d, c",95,0.1053290715254237,28.427963158671805,89.47368421052632,0.0,0.0,0.0133265804370372,1.0970464872124276e-06,0.0028380138000945,0.1726818520214192,False,False
Kepler-1624 b,,,,,,,,,,,,True,True
Kepler-890 b,None,28,0.0719874852173912,55.1229931785296,89.47368421052632,0.0,0.0,0.0058905257172364,1.7831407897621678e-07,0.0009160601289825,0.2539786383146179,False,False
Kepler-682 b,None,112,0.0686230258695652,24.728683337383103,89.47368421052632,0.0,0.0,0.0056868451762516,7.3717451852628224e-06,0.0010339546056679,0.2056705865065309,False,False
Kepler-854 b,None,680,0.1212338592307692,5.5246690533016425,89.47368421052632,0.0,0.0,0.0179522209971771,1.1738580055282547e-05,0.0056394661832345,0.2565496947850537,False,False
Kepler-548 b,None,319,0.1193487206521739,11.569658083180183,93.6842105263158,0.0,0.0,0.0142665864818634,9.359105519388016e-07,0.0017944442877738,0.072869593652596,False,False
Kepler-547 b,None,236,0.0445509729729729,16.85386173405664,88.42105263157895,0.0,0.0,0.002287346993636,4.4145075625987634e-07,0.0003578598125538,0.1031379935705519,False,False
Kepler-867 b,None,10,0.0448840358024691,136.8240836509635,90.0,0.0,0.0,0.0024662070695982,2.649437962062647e-07,0.0004230856167491,0.4471816493070534,False,False
Kepler-152 b,c,78,0.0371730322368421,36.03201170498557,89.47368421052632,0.0,0.0,0.0016434733159484,7.199741055447397e-08,0.0002997171456116,0.1790533523033639,False,False
Kepler-86 b,None,5,0.0881232388571428,192.36833580330045,90.0,0.0,3.44,0.0094997539114977,7.987356833739222e-07,0.0012063612845955,0.3285119272348584,False,False
Kepler-509 b,None,34,0.020399830460251,43.40228066928728,89.47368421052632,0.0,0.0,0.0004880630548774,,8.740093243598962e-05,0.2288688515739141,False,False
Kepler-6 b,None,455,0.0949845162790697,7.397768564294318,87.36842105263158,0.0,0.0,0.0107003095716637,2.847683704043776e-07,0.0015986879712159,0.1259866006939889,False,False
Kepler-48 c,"d, b, e",152,0.027061517977528,21.164950272152023,89.47368421052632,0.0,0.0,0.000888048475549,,0.0001763015929718,0.1735850239180313,False,False
Kepler-820 b,None,11,0.038406531301939,60.78079845228403,90.0,0.0,0.0,0.0018058639459774,2.013881524926453e-07,0.0006270218130038,0.5809726176432629,False,False
Kepler-747 b,None,40,0.0679313489743589,52.82068815432109,89.47368421052632,0.0,0.0,0.0052821219153417,2.9442086670420542e-06,0.0009190453680327,0.413198664656146,False,False
Kepler-25 c,"d, b",112,0.0286169614126394,18.06588794003097,90.0,0.0,0.0,0.0010026693198915,1.3514597123724602e-08,0.0313257069605481,0.2831748946066763,False,False
Kepler-495 b,c,428,0.0568854776470588,10.270941621460398,88.42105263157895,0.0,0.0,0.003878933339267,3.923171333806071e-07,0.0011711264590843,0.1566237058910373,False,False
Kepler-511 b,c,5,0.0478637964264705,143.012110477385,90.0,0.0,0.0,0.0028044323414353,1.1080529420667469e-07,0.0003231718555672,0.5356525552683135,False,False
Kepler-96 b,None,88,0.0199618580631578,28.45213268200509,88.42105263157895,0.0,0.0,0.0003883119597524,1.2032242378285167e-06,0.000155927800514,0.1949982940493678,False,False
Kepler-490 b,None,445,0.0901955179059829,8.527765937232077,90.0,0.0,0.0,0.0099513586995719,4.72742956009831e-07,0.001501522764227,0.0963036120103648,False,False
Kepler-149 d,"b, c",9,0.0338352915789473,125.0920535140025,90.0,0.0,0.0,0.0014016279953786,1.5984081426631144e-07,0.0003978665634158,0.2634444092494517,False,False
Kepler-564 b,None,379,0.0446317378947368,10.955316004845235,93.6842105263158,0.0,0.0,0.0020637644110189,3.961883285540855e-06,0.0006388602170445,0.1130616189828565,False,False
Kepler-560 b,None,77,0.0445502757746478,55.48432072760055,89.47368421052632,0.0,0.0,0.0022549580963496,,0.0004937567053609,0.1095944365639751,False,False
Kepler-841 b,None,12,0.0570829966666666,119.30295536038612,90.0,0.0,0.0,0.0039883328602741,7.051256403318886e-07,0.0006761751285834,0.1952866438653549,False,False
Kepler-1515 b,None,6,0.0605966957446808,113.69246640776508,90.0,0.0,0.0,0.0044942098464419,8.750583705226097e-08,0.000653566981452,0.3861891565061806,False,False
Kepler-1625 b,,,,,,,,,,,,True,True
Kepler-468 b,None,38,0.1398630545454545,54.07566820714308,89.47368421052632,0.0,0.0,0.0222418023852499,2.148494444407526e-05,0.0033593969495071,0.1622436896306049,False,False
Kepler-667 b,None,34,0.0499748771428571,46.85650308565842,89.47368421052632,0.0,0.0,0.002905095895451,,0.0007567410913559,0.5906373343158973,False,False
Kepler-1513 b,None,9,0.0775336198453608,120.06324424497254,90.0,0.0,0.0,0.0073554333498565,1.315919718860288e-06,0.000786515564818,0.3058544545133755,False,False
Kepler-1540 b,,,,,,,,,,,,True,True
Kepler-985 b,None,13,0.0380313894117647,117.28099841647884,90.0,0.0,0.0,0.0017707651796694,,0.000579032255057,0.3972845596678923,False,False
Kepler-486 b,None,48,0.1308242857142857,48.1727597481489,90.0,0.0,0.0,0.0209121195837586,8.092363422349356e-07,0.0025789245858303,0.1660519411366228,False,False
Kepler-1000 b,None,13,0.0314669597993311,75.42661941034577,89.47368421052632,0.0,0.0,0.0010335657699149,,0.0011915382502139,0.4337646911278,False,False
Kepler-108 b,c,30,0.0331558919178082,28.74457830859203,89.47368421052632,0.0,0.0,0.0013218347911276,4.417335565670734e-08,0.0002071296843297,0.420589475007644,False,False
Kepler-423 b,None,544,0.1235907929166666,8.466886142690953,88.42105263157895,0.0,120.26,0.0184054312902196,1.173017305210954e-06,0.0063905997294531,0.1393987537358232,False,False
Kepler-803 b,None,29,0.0319919650655021,47.90800926042475,89.47368421052632,0.0,0.0,0.0011877844123763,,0.0001860805982135,0.2934057714615068,False,False
Kepler-685 b,None,874,0.0764537125714285,5.570353513679672,88.42105263157895,0.0,0.0,0.0071094279601829,9.907278749865727e-07,0.0030454538684245,0.1630090745691055,False,False
Kepler-122 c,"d, e, f, b",117,0.0436799203361344,19.208323264624216,89.47368421052632,0.0,0.0,0.0023172773923126,1.2448122420599365e-07,0.0003978697197501,0.231344426519043,False,False
Kepler-221 e,,,,,,,,,,,,True,True
Kepler-1520 b,,,,,,,,,,,,True,True
Kepler-10 c,b,33,0.0198704811320754,48.727069217714686,89.47368421052632,0.0,0.0,0.0004573288674707,4.3250886202371535e-08,9.485153852626852e-05,0.3695212702256683,False,False
Kepler-74 b,None,199,0.0906230729166666,11.961156614277698,86.3157894736842,0.0,62.0,0.0080787355302811,4.0821938233888964e-07,0.0008120503185959,0.1015410816537034,False,False
Kepler-101 b,c,408,0.0338071758333333,6.450960870621678,85.26315789473684,0.0,231.0,0.001288320345844,3.8598208060931566e-08,0.0002549185588588,0.2076554886162906,False,False
Kepler-522 b,None,37,0.0360274063556851,30.40540352042288,89.47368421052632,0.0,0.0,0.0015571875628885,1.0138820523559756e-06,,,False,True
Kepler-117 b,c,77,0.0455704595238095,21.54708698962751,89.47368421052632,0.0,254.3,0.0025169032864403,3.451148580486944e-07,0.0004053410348939,0.3133263060496982,False,False
Kepler-396 c,b,16,0.0491478572864321,79.63749014486059,89.47368421052632,0.0,0.0,0.0024547045303118,4.0468153909761136e-05,0.0011539497532097,0.4368806707178037,False,False
Kepler-782 b,None,9,0.0262755546153846,104.6121631782866,90.0,0.0,0.0,0.0008453205086746,6.923601288059659e-08,0.0001403671839751,0.4904497815142259,False,False
Kepler-39 b,None,66,0.0912422023655913,23.722888362931336,88.42105263157895,0.0,98.9,0.0088711390443131,1.5072966526193554e-06,0.0013887175771209,0.2522308389050298,False,False
Kepler-108 c,b,7,0.0306720226027397,70.91638491334106,89.47368421052632,0.0,0.0,0.001005996050673,2.7123537116014066e-08,0.0001593670116225,0.595266006500723,False,False
Kepler-533 b,None,50,0.040198735064935,50.29515380082097,89.47368421052632,0.0,0.0,0.0018636929979258,1.0873813199409823e-06,0.0003511925841621,0.2211805206018753,False,False
Kepler-30 c,"d, b",23,0.1287972611494253,74.09954287403752,90.0,0.0,-49.0,0.0202704507789923,2.104511756130865e-05,0.0029081537676275,0.2075308729084794,False,False
Kepler-27 c,"d, b",46,0.0695231036470588,48.92611107365619,89.47368421052632,0.0,0.0,0.0055911947114601,6.952675417270456e-05,0.0011102779104261,0.2378603481775497,False,False
Kepler-628 b,None,92,0.0596874205673758,18.925868653526013,89.47368421052632,0.0,0.0,0.0043270046227693,4.09079930205117e-07,0.0005591507917817,0.2893090115240042,False,False
Kepler-238 e,"d, f, b, c",61,0.0539504818253968,28.05655997698952,89.47368421052632,0.0,0.0,0.0035020275626129,3.865692043780735e-07,0.0005950723188747,0.3471959657887939,False,False
Kepler-554 b,None,747,0.0424602176344086,6.797786723880909,88.42105263157895,0.0,0.0,0.0021874621403203,2.567383790660287e-07,0.0008160754950362,0.1426337608104439,False,False
Kepler-553 c,b,5,0.1084576936666666,218.99817533377148,90.0,0.0,0.0,0.0143824778030898,2.929321000178203e-06,0.0016846990605292,0.390758701121602,False,False
Kepler-111 c,b,7,0.0546177859310344,138.45467454791185,90.0,0.0,0.0,0.0036514155633167,4.554310234699829e-07,0.0004078025260391,0.4212844198718318,False,False
Kepler-410 A b,None,80,0.0168340073529411,22.51511833275801,88.42105263157895,0.0,0.0,0.0003079340889186,9.230975057224965e-08,7.699046378674046e-05,0.2332663783886852,False,False
Kepler-7 b,None,299,0.0806617616161616,6.700745550797265,85.26315789473684,0.0,0.0,0.0072685223298026,1.0446490405567673e-07,0.0008124718509695,0.1601716672487164,False,False
Kepler-471 b,None,291,0.0736111305343511,10.32482032473546,89.47368421052632,0.0,0.0,0.006615491131109,4.707133592115373e-07,0.0010889466049038,0.1579440289543438,False,False
Kepler-314 c,b,244,0.0259032085714285,15.35943064433733,88.42105263157895,0.0,0.0,0.0007821801526274,4.739432271993947e-06,0.0001767004213856,0.1362992367887088,False,False
Kepler-102 e,"d, f, b, c",91,0.031185681081081,32.80691361681025,89.47368421052632,0.0,0.0,0.0011627664543654,2.625140259162907e-06,0.0001582521216454,0.1600731296258219,False,False
Kepler-463 b,None,162,0.0276713841130434,14.902654533001384,90.0,0.0,0.0,0.0009375088070097,2.907661851349033e-08,0.0001629022314182,0.0961565245642613,False,False
Kepler-976 b,None,14,0.0433426546583851,112.43103231654923,90.0,0.0,0.0,0.0022997595785914,,0.0004342044115543,0.367147468984419,False,False
Kepler-15 b,None,295,0.098628429,12.251449853455672,88.42105263157895,0.0,0.0,0.0115403967931326,3.520643301058684e-07,0.0012695264044661,0.0801771284976536,False,False
Kepler-465 b,None,147,0.0213479498360655,16.656169461031382,88.42105263157895,0.0,0.0,0.000526179835665,,9.619969245900626e-05,0.2022121268105967,False,False
Kepler-14 b,None,214,0.043635323707317,8.218419255499326,87.36842105263158,0.0,0.0,0.0022433398187354,4.002456627630119e-08,0.0003584926509082,0.2797770188966852,False,False
Kepler-855 b,None,157,0.0741452377192982,14.373193518753569,89.47368421052632,0.0,0.0,0.0066973853323036,1.8575994459575828e-05,0.0012242736242875,0.2242400204107568,False,False
Kepler-562 b,None,79,0.0526824988764045,32.206482548834074,89.47368421052632,0.0,0.0,0.0033204166266154,1.6494001593435968e-07,0.0003736384435585,0.1880233336141419,False,False
Kepler-46 b,"d, c",42,0.0695591320430107,45.2260912650036,89.47368421052632,0.0,264.2,0.0056474245348105,3.8776576362036405e-06,0.0007478605121426,0.1600729545371805,False,False
